,car_id,date,mileage,env_temperature,env_humidity,tire_thickness_mm,brake_pad_thickness_mm,oil_quality,engine_performance,vibration_level,engine_temperature,maintenance_needed
113,1,2022-04-24,7510,-7.71,81.01,1.111,8.493,89.13,89.69,3.74,75.26,1
114,1,2022-04-25,7561,31.08,46.03,1.059,8.467,89.12,89.67,2.54,75.26,1
115,1,2022-04-26,7612,29.74,68.56,1.007,8.442,89.09,89.64,6.3,75.35,1
116,1,2022-04-27,7637,10.99,64.7,0.983,8.428,89.07,89.64,6.88,76.33,1
117,1,2022-04-28,7680,0.02,80.77,0.938,8.407,89.01,89.62,5.54,75.27,1
118,1,2022-04-29,7745,28.83,73.96,0.874,8.374,88.97,89.59,4.68,74.17,1
119,1,2022-04-30,7773,-9.94,61.88,0.846,8.362,88.92,89.57,6.68,74.89,1
120,1,2022-05-01,7864,5.52,51.87,0.751,8.316,88.86,89.55,6.8,76.84,1
121,1,2022-05-02,7924,27.85,86.69,0.691,8.287,88.81,89.54,9.8,75.57,1
122,1,2022-05-03,7975,25.12,59.18,0.638,8.261,88.79,89.53,6.84,76.16,1
123,1,2022-05-04,8069,-7.94,66.93,0.54,8.213,88.77,89.5,7.53,76.17,1
124,1,2022-05-05,8163,20.61,53.91,0.446,8.165,88.73,89.47,5.8,77.82,1
125,1,2022-05-06,8194,26.58,25.71,0.417,8.15,88.68,89.44,6.05,75.08,1
126,1,2022-05-07,8283,22.94,54.87,0.329,8.105,88.66,89.42,4.0,75.88,1
127,1,2022-05-08,8378,-8.47,38.04,0.232,8.058,88.58,89.39,5.06,77.29,1
128,1,2022-05-09,8433,17.17,55.98,0.177,8.031,88.5,89.35,6.2,76.88,1
129,1,2022-05-10,8464,39.61,39.87,0.148,8.017,88.46,89.33,4.05,77.16,1
130,1,2022-05-11,8497,20.09,64.28,0.115,8.0,88.4,89.31,6.54,72.95,1
131,1,2022-05-12,8586,7.96,61.51,0.028,7.954,88.33,89.29,5.03,75.74,1
132,1,2022-05-13,8628,19.94,47.77,0.0,7.933,88.32,89.27,4.48,77.07,1
133,1,2022-05-14,8648,2.44,63.2,0.0,7.925,88.24,89.27,6.01,73.73,1
134,1,2022-05-15,8723,29.09,69.38,0.0,7.887,88.2,89.25,4.86,75.87,1
135,1,2022-05-16,8771,16.56,85.56,0.0,7.862,88.14,89.24,3.24,77.55,1
136,1,2022-05-17,8840,13.99,68.02,0.0,7.827,88.09,89.24,5.86,73.87,1
137,1,2022-05-18,8911,-3.71,29.29,0.0,7.791,88.03,89.22,7.15,75.82,1
138,1,2022-05-19,8985,-1.14,68.48,0.0,7.754,87.98,89.2,4.2,76.29,1
139,1,2022-05-20,9005,29.78,84.31,0.0,7.745,87.9,89.19,5.61,75.3,1
140,1,2022-05-21,9097,39.97,23.37,0.0,7.699,87.86,89.18,7.45,76.76,1
141,1,2022-05-22,9129,36.28,50.67,0.0,7.682,87.81,89.15,4.65,76.11,1
142,1,2022-05-23,9219,6.23,45.65,0.0,7.636,87.72,89.12,0.7,77.91,1
143,1,2022-05-24,9310,-9.27,61.09,0.0,7.588,87.71,89.11,5.12,77.27,1
144,1,2022-05-25,9355,13.96,21.79,0.0,7.566,87.71,89.1,8.25,76.47,1
145,1,2022-05-26,9395,25.77,56.49,0.0,7.546,87.66,89.08,3.49,75.89,1
146,1,2022-05-27,9466,14.29,37.97,0.0,7.51,87.56,89.05,5.51,75.74,1
147,1,2022-05-28,9560,10.0,88.37,0.0,7.462,87.49,89.03,3.35,76.1,1
148,1,2022-05-29,9624,30.79,46.15,0.0,7.43,87.42,89.01,4.43,76.69,1
149,1,2022-05-30,9685,0.6,62.77,0.0,7.399,87.35,89.0,6.61,75.76,1
150,1,2022-05-31,9722,11.19,66.73,0.0,7.38,87.32,88.98,6.01,75.98,1
151,1,2022-06-01,9763,13.64,57.48,0.0,7.36,87.25,88.94,3.89,75.0,1
152,1,2022-06-02,9784,19.72,54.77,0.0,7.351,87.22,88.9,8.42,75.98,1
153,1,2022-06-03,9849,-9.21,43.88,0.0,7.319,87.2,88.87,2.8,75.69,1
154,1,2022-06-04,9917,7.75,24.86,0.0,7.284,87.15,88.86,6.26,74.87,1
155,1,2022-06-05,9994,24.01,36.16,0.0,7.246,87.06,88.83,3.59,76.41,1
156,1,2022-06-06,10090,18.11,87.03,0.0,7.198,87.02,88.83,7.5,76.19,1
157,1,2022-06-07,10117,-9.94,41.06,0.0,7.186,86.97,88.8,5.15,77.74,1
158,1,2022-06-08,10168,21.18,26.24,0.0,7.16,86.9,88.77,3.43,75.22,1
159,1,2022-06-09,10260,-5.62,85.59,0.0,7.114,86.85,88.75,5.73,77.98,1
160,1,2022-06-10,10291,18.33,47.37,0.0,7.098,86.79,88.72,3.99,76.37,1
161,1,2022-06-11,10312,10.15,32.15,0.0,7.087,86.75,88.68,6.82,75.03,1
162,1,2022-06-12,10383,-3.04,82.88,0.0,7.051,86.71,88.67,6.02,76.7,1
163,1,2022-06-13,10480,11.62,41.83,0.0,7.002,86.66,88.65,2.38,75.11,1
164,1,2022-06-14,10501,18.22,33.42,0.0,6.992,86.64,88.62,2.54,76.42,1
165,1,2022-06-15,10527,-6.27,74.79,0.0,6.979,86.59,88.6,5.87,77.9,1
166,1,2022-06-16,10584,5.31,63.67,0.0,6.95,86.54,88.57,3.99,75.56,1
167,1,2022-06-17,10608,10.71,77.93,0.0,6.939,86.5,88.55,6.73,75.96,1
168,1,2022-06-18,10692,-3.14,57.47,0.0,6.897,86.47,88.53,2.22,76.0,1
169,1,2022-06-19,10766,22.3,54.95,0.0,6.86,86.4,88.5,7.02,77.12,1
170,1,2022-06-20,10849,9.62,86.94,0.0,6.817,86.36,88.46,6.36,76.33,1
171,1,2022-06-21,10889,-8.08,83.12,0.0,6.796,86.33,88.46,5.73,76.58,1
172,1,2022-06-22,10977,12.53,81.77,0.0,6.75,86.28,88.44,5.47,76.4,1
173,1,2022-06-23,11020,-6.4,24.99,0.0,6.729,86.25,88.44,2.85,75.1,1
174,1,2022-06-24,11047,17.48,78.14,0.0,6.716,86.23,88.41,4.35,76.64,1
175,1,2022-06-25,11107,20.75,74.22,0.0,6.686,86.18,88.38,4.85,75.84,1
176,1,2022-06-26,11158,-4.3,54.02,0.0,6.66,86.15,88.36,6.11,76.71,1
177,1,2022-06-27,11236,1.23,46.05,0.0,6.62,86.11,88.35,5.42,77.46,1
178,1,2022-06-28,11276,14.8,20.89,0.0,6.6,86.06,88.32,4.5,78.58,1
179,1,2022-06-29,11302,32.1,70.99,0.0,6.588,86.01,88.32,3.92,77.31,1
180,1,2022-06-30,11371,24.26,26.43,0.0,6.555,85.95,88.29,9.6,78.1,1
181,1,2022-07-01,11409,15.42,40.83,0.0,6.536,85.92,88.28,7.65,77.29,1
182,1,2022-07-02,11432,27.09,81.7,0.0,6.525,85.88,88.25,8.34,77.45,1
183,1,2022-07-03,11492,20.8,33.16,0.0,6.497,85.81,88.23,5.62,77.41,1
184,1,2022-07-04,11564,-9.45,72.47,0.0,6.462,85.77,88.22,3.37,75.02,1
185,1,2022-07-05,11609,26.1,82.03,0.0,6.442,85.75,88.19,3.9,79.68,1
186,1,2022-07-06,11708,22.12,24.54,0.0,6.393,85.7,88.17,8.21,78.71,1
187,1,2022-07-07,11790,-8.85,42.55,0.0,6.353,85.63,88.15,-0.55,77.99,1
188,1,2022-07-08,11864,-2.63,42.97,0.0,6.317,85.57,88.12,3.24,76.68,1
189,1,2022-07-09,11930,21.88,54.73,0.0,6.285,85.52,88.09,8.77,78.78,1
190,1,2022-07-10,11999,-0.78,45.36,0.0,6.252,85.44,88.05,5.86,77.48,1
191,1,2022-07-11,12053,29.13,23.93,0.0,6.225,85.4,88.02,4.62,78.69,1
192,1,2022-07-12,12076,14.15,29.34,0.0,6.213,85.36,88.01,6.46,77.15,1
193,1,2022-07-13,12119,13.6,20.94,0.0,6.192,85.32,88.0,4.55,77.71,1
194,1,2022-07-14,12215,3.6,73.16,0.0,6.144,85.25,87.96,2.37,76.28,1
195,1,2022-07-15,12249,28.59,26.05,0.0,6.127,85.23,87.94,6.59,76.13,1
196,1,2022-07-16,12287,-0.1,59.57,0.0,6.108,85.2,87.92,5.94,79.31,1
197,1,2022-07-17,12334,39.03,35.92,0.0,6.084,85.14,87.89,4.83,76.6,1
198,1,2022-07-18,12355,14.23,31.6,0.0,6.073,85.06,87.87,6.89,76.78,1
199,1,2022-07-19,12438,-4.4,44.92,0.0,6.03,84.99,87.85,8.17,77.78,1
200,1,2022-07-20,12536,27.71,21.26,0.0,5.983,84.93,87.83,4.64,80.73,1
201,1,2022-07-21,12605,-4.73,65.97,0.0,5.949,84.89,87.82,4.48,76.83,1
202,1,2022-07-22,12696,27.87,39.35,0.0,5.902,84.83,87.79,5.97,76.74,1
203,1,2022-07-23,12718,29.66,42.17,0.0,5.892,84.78,87.78,4.15,77.7,1
204,1,2022-07-24,12785,8.18,71.28,0.0,5.859,84.75,87.76,5.38,77.87,1
205,1,2022-07-25,12867,15.26,87.7,0.0,5.818,84.72,87.73,3.28,78.0,1
206,1,2022-07-26,12954,24.34,26.51,0.0,5.774,84.66,87.71,5.68,77.37,1
207,1,2022-07-27,13033,30.95,57.86,0.0,5.737,84.62,87.68,4.82,75.45,1
208,1,2022-07-28,13073,31.41,43.46,0.0,5.715,84.56,87.65,5.89,76.51,1
209,1,2022-07-29,13109,11.78,60.41,0.0,5.696,84.51,87.63,5.74,76.95,1
210,1,2022-07-30,13156,6.26,68.04,0.0,5.672,84.44,87.62,3.81,76.57,1
211,1,2022-07-31,13228,-6.57,73.42,0.0,5.636,84.39,87.59,6.27,78.92,1
212,1,2022-08-01,13270,3.01,83.5,0.0,5.616,84.36,87.58,3.1,77.51,1
213,1,2022-08-02,13314,10.64,76.16,0.0,5.594,84.3,87.55,7.01,79.91,1
214,1,2022-08-03,13352,21.41,57.29,0.0,5.573,84.26,87.53,4.96,77.57,1
215,1,2022-08-04,13430,5.06,61.89,0.0,5.533,84.21,87.5,6.12,80.15,1
216,1,2022-08-05,13461,31.91,39.97,0.0,5.516,84.18,87.48,6.95,78.41,1
217,1,2022-08-06,13525,33.95,60.02,0.0,5.484,84.13,87.45,4.22,77.05,1
218,1,2022-08-07,13565,-1.76,31.94,0.0,5.462,84.1,87.42,3.07,77.98,1
219,1,2022-08-08,13650,9.23,54.14,0.0,5.421,84.04,87.41,6.61,78.19,1
220,1,2022-08-09,13726,1.94,52.87,0.0,5.385,83.98,87.4,3.21,77.34,1
221,1,2022-08-10,13791,15.83,20.39,0.0,5.352,83.97,87.39,4.02,76.67,1
222,1,2022-08-11,13847,-7.78,39.45,0.0,5.325,83.9,87.37,4.13,78.12,1
223,1,2022-08-12,13877,23.77,23.14,0.0,5.31,83.88,87.37,6.66,77.88,1
224,1,2022-08-13,13929,25.7,62.55,0.0,5.284,83.8,87.34,4.46,77.21,1
225,1,2022-08-14,13967,12.81,45.83,0.0,5.263,83.75,87.31,7.27,77.31,1
226,1,2022-08-15,14060,10.63,65.23,0.0,5.218,83.7,87.29,5.76,78.79,1
227,1,2022-08-16,14117,-3.97,83.17,0.0,5.189,83.7,87.25,4.63,77.38,1
228,1,2022-08-17,14161,35.51,76.56,0.0,5.165,83.64,87.22,8.68,77.44,1
229,1,2022-08-18,14210,3.77,41.44,0.0,5.141,83.58,87.2,4.73,79.02,1
230,1,2022-08-19,14286,5.94,60.75,0.0,5.104,83.51,87.15,5.9,77.22,1
231,1,2022-08-20,14352,-7.76,73.33,0.0,5.069,83.47,87.13,1.63,77.46,1
232,1,2022-08-21,14405,23.86,62.4,0.0,5.041,83.44,87.11,2.77,78.38,1
233,1,2022-08-22,14488,-5.03,34.62,0.0,5.001,83.4,87.09,2.81,78.26,1
234,1,2022-08-23,14542,31.77,45.93,0.0,4.974,83.38,87.09,6.06,76.27,1
235,1,2022-08-24,14595,-2.29,58.76,0.0,4.948,83.34,87.06,6.09,79.18,1
236,1,2022-08-25,14635,-1.14,55.52,0.0,4.927,83.27,87.06,4.66,77.26,1
237,1,2022-08-26,14705,21.31,54.22,0.0,4.891,83.24,87.05,4.62,79.82,1
238,1,2022-08-27,14729,26.54,30.36,0.0,4.881,83.19,87.02,7.17,78.5,1
239,1,2022-08-28,14753,-3.47,75.34,0.0,4.868,83.14,87.02,4.97,78.82,1
240,1,2022-08-29,14847,33.18,61.21,0.0,4.822,83.09,87.02,10.43,78.19,1
241,1,2022-08-30,14917,33.28,88.65,0.0,4.785,83.04,86.99,2.95,77.69,1
242,1,2022-08-31,15005,5.59,37.92,0.0,4.741,82.95,86.97,6.9,79.63,1
243,1,2022-09-01,15104,-3.28,40.96,0.0,4.69,82.89,86.93,4.75,78.2,1
244,1,2022-09-02,15136,21.65,24.83,0.0,4.674,82.82,86.9,5.7,79.66,1
245,1,2022-09-03,15201,-5.57,54.13,0.0,4.642,82.73,86.88,8.45,79.31,1
246,1,2022-09-04,15236,-9.7,27.07,0.0,4.624,82.69,86.85,2.67,78.58,1
247,1,2022-09-05,15286,25.51,66.68,0.0,4.6,82.62,86.83,4.47,76.69,1
248,1,2022-09-06,15358,1.3,64.83,0.0,4.565,82.56,86.82,4.73,79.81,1
249,1,2022-09-07,15397,31.07,58.83,0.0,4.544,82.49,86.8,5.47,80.12,1
250,1,2022-09-08,15424,16.01,30.0,0.0,4.533,82.46,86.78,3.95,78.92,1
251,1,2022-09-09,15469,27.43,42.23,0.0,4.509,82.4,86.75,0.85,78.37,1
252,1,2022-09-10,15516,37.02,25.79,0.0,4.486,82.34,86.74,7.05,78.17,1
253,1,2022-09-11,15584,34.59,50.37,0.0,4.452,82.3,86.71,5.16,78.29,1
254,1,2022-09-12,15658,36.51,79.1,0.0,4.414,82.25,86.69,3.76,78.56,1
255,1,2022-09-13,15719,29.09,65.09,0.0,4.384,82.18,86.67,3.01,78.85,1
256,1,2022-09-14,15809,21.72,73.95,0.0,4.338,82.13,86.65,6.24,77.8,1
257,1,2022-09-15,15873,13.61,81.61,0.0,4.306,82.07,86.63,9.93,77.97,1
258,1,2022-09-16,15905,-5.73,23.01,0.0,4.29,82.05,86.62,4.56,76.33,1
259,1,2022-09-17,15978,10.21,57.17,0.0,4.255,81.97,86.61,1.61,78.68,1
260,1,2022-09-18,16073,0.99,29.21,0.0,4.207,81.93,86.6,5.2,80.58,1
261,1,2022-09-19,16108,7.4,46.02,0.0,4.188,81.86,86.57,6.04,81.01,1
262,1,2022-09-20,16199,31.49,62.43,0.0,4.143,81.81,86.55,5.3,79.73,1
263,1,2022-09-21,16262,13.67,24.18,0.0,4.111,81.78,86.54,4.25,78.79,1
264,1,2022-09-22,16326,21.12,74.69,0.0,4.079,81.72,86.53,7.49,78.24,1
265,1,2022-09-23,16391,16.94,24.24,0.0,4.047,81.67,86.5,5.01,77.54,1
266,1,2022-09-24,16448,23.98,25.34,0.0,4.018,81.58,86.5,4.88,80.34,1
267,1,2022-09-25,16542,34.88,67.2,0.0,3.971,81.52,86.47,4.15,77.62,1
268,1,2022-09-26,16587,19.68,25.12,0.0,3.947,81.49,86.44,7.1,78.94,1
269,1,2022-09-27,16671,28.65,41.7,0.0,3.905,81.43,86.41,5.93,79.83,1
270,1,2022-09-28,16733,8.85,58.64,0.0,3.876,81.4,86.38,3.89,77.84,1
271,1,2022-09-29,16761,34.73,20.03,0.0,3.861,81.4,86.34,3.54,79.54,1
272,1,2022-09-30,16858,-8.37,24.04,0.0,3.815,81.33,86.32,5.97,79.99,1
273,1,2022-10-01,16899,1.43,86.94,0.0,3.793,81.28,86.29,8.95,77.8,1
274,1,2022-10-02,16937,15.83,73.11,0.0,3.775,81.2,86.28,2.16,79.61,1
275,1,2022-10-03,17002,2.77,40.7,0.0,3.743,81.14,86.26,7.47,78.36,1
276,1,2022-10-04,17088,28.56,65.83,0.0,3.698,81.1,86.23,8.34,81.89,1
277,1,2022-10-05,17177,19.52,24.29,0.0,3.655,81.07,86.22,7.43,80.29,1
278,1,2022-10-06,17246,32.42,49.58,0.0,3.621,81.02,86.2,6.41,78.74,1
279,1,2022-10-07,17281,17.12,30.47,0.0,3.605,80.99,86.18,5.84,80.91,1
280,1,2022-10-08,17317,37.61,22.97,0.0,3.586,80.92,86.15,5.07,78.58,1
281,1,2022-10-09,17402,15.44,45.85,0.0,3.542,80.86,86.13,7.17,80.5,1
282,1,2022-10-10,17462,33.08,39.19,0.0,3.514,80.8,86.1,5.92,81.28,1
283,1,2022-10-11,17548,37.35,54.74,0.0,3.474,80.73,86.09,5.51,79.31,1
284,1,2022-10-12,17571,20.8,79.03,0.0,3.46,80.67,86.05,0.33,81.01,1
285,1,2022-10-13,17603,5.44,53.76,0.0,3.443,80.6,86.01,6.93,79.14,1
