,car_id,date,env_temperature,env_humidity,tire_thickness_mm,brake_pad_thickness_mm,vibration_level,maintenance_needed
35,1,2022-02-05,5.04,63.58,5.872,8.357,5.02,0
36,1,2022-02-06,29.03,35.13,5.794,8.317,6.04,0
37,1,2022-02-07,23.26,38.05,5.728,8.284,2.04,0
38,1,2022-02-08,-6.82,45.88,5.687,8.266,5.62,0
39,1,2022-02-09,-4.35,73.48,5.608,8.227,3.44,0
40,1,2022-02-10,13.89,89.23,5.562,8.203,1.94,0
41,1,2022-02-11,30.36,37.02,5.51,8.176,6.21,0
42,1,2022-02-12,-7.99,80.07,5.475,8.158,1.22,0
43,1,2022-02-13,7.65,52.74,5.422,8.134,5.73,0
44,1,2022-02-14,18.17,77.99,5.326,8.087,6.21,0
45,1,2022-02-15,35.24,48.21,5.241,8.047,4.74,0
46,1,2022-02-16,-7.0,73.62,5.193,8.023,5.65,0
47,1,2022-02-17,26.18,89.79,5.097,7.977,3.05,0
48,1,2022-02-18,35.21,89.89,5.004,7.931,4.28,0
49,1,2022-02-19,27.01,74.75,4.942,7.9,3.05,0
50,1,2022-02-20,32.54,80.21,4.858,7.859,5.94,0
51,1,2022-02-21,14.51,87.6,4.805,7.83,1.62,0
52,1,2022-02-22,-1.04,46.5,4.73,7.793,2.55,0
53,1,2022-02-23,12.7,37.28,4.705,7.781,4.7,0
54,1,2022-02-24,28.18,30.39,4.632,7.745,8.48,0
55,1,2022-02-25,-4.38,70.11,4.573,7.717,5.58,0
56,1,2022-02-26,-2.05,45.92,4.518,7.688,2.52,0
57,1,2022-02-27,15.1,84.57,4.471,7.665,5.49,0
58,1,2022-02-28,34.31,31.19,4.386,7.625,4.73,0
59,1,2022-03-01,30.6,75.65,4.289,7.575,8.75,0
60,1,2022-03-02,11.8,65.26,4.197,7.526,4.35,0
61,1,2022-03-03,26.84,58.27,4.135,7.494,7.88,0
62,1,2022-03-04,24.43,44.0,4.039,7.444,3.51,0
63,1,2022-03-05,28.4,65.04,3.959,7.403,4.53,0
64,1,2022-03-06,27.4,44.44,3.926,7.387,7.21,0
65,1,2022-03-07,-0.49,62.09,3.838,7.341,5.19,0
66,1,2022-03-08,22.79,88.8,3.781,7.314,6.83,0
67,1,2022-03-09,-2.15,35.64,3.691,7.27,1.57,0
68,1,2022-03-10,10.38,32.48,3.596,7.221,7.81,0
69,1,2022-03-11,34.23,85.25,3.523,7.185,4.02,0
70,1,2022-03-12,29.21,75.89,3.463,7.157,1.44,0
71,1,2022-03-13,38.94,77.89,3.411,7.132,4.35,0
72,1,2022-03-14,26.65,45.8,3.328,7.09,3.33,0
73,1,2022-03-15,0.11,48.39,3.26,7.056,4.31,0
74,1,2022-03-16,6.81,35.31,3.202,7.027,3.6,0
75,1,2022-03-17,15.55,89.05,3.147,6.999,2.78,0
76,1,2022-03-18,37.58,54.38,3.098,6.971,2.68,0
77,1,2022-03-19,8.71,87.8,3.072,6.958,5.31,0
78,1,2022-03-20,20.95,77.7,2.976,6.911,7.8,0
79,1,2022-03-21,13.27,26.36,2.913,6.879,6.24,0
80,1,2022-03-22,2.67,39.72,2.872,6.863,2.33,0
81,1,2022-03-23,26.41,27.44,2.777,6.817,3.3,0
82,1,2022-03-24,11.55,69.23,2.704,6.78,5.16,0
83,1,2022-03-25,9.73,22.19,2.618,6.738,3.35,0
84,1,2022-03-26,20.44,21.55,2.557,6.707,5.85,0
85,1,2022-03-27,-2.16,82.56,2.537,6.697,7.32,0
86,1,2022-03-28,25.02,44.71,2.496,6.674,3.52,0
87,1,2022-03-29,-6.89,81.7,2.442,6.645,6.61,0
88,1,2022-03-30,-9.61,84.95,2.383,6.617,6.85,0
89,1,2022-03-31,-5.74,89.78,2.346,6.598,3.54,0
90,1,2022-04-01,-4.66,69.47,2.328,6.588,4.8,0
91,1,2022-04-02,-3.19,79.62,2.227,6.539,7.11,0
92,1,2022-04-03,20.58,24.02,2.147,6.498,4.86,0
93,1,2022-04-04,-4.73,47.29,2.063,6.458,6.56,0
94,1,2022-04-05,38.62,20.19,2.022,6.436,4.58,0
95,1,2022-04-06,25.55,89.11,1.924,6.389,7.15,0
96,1,2022-04-07,16.53,87.48,1.902,6.378,4.29,0
97,1,2022-04-08,32.03,66.25,1.826,6.341,6.19,0
98,1,2022-04-09,34.1,23.6,1.742,6.3,4.4,0
99,1,2022-04-10,31.52,20.14,1.65,6.252,3.86,0
100,1,2022-04-11,13.41,26.99,1.587,6.221,5.03,0
101,1,2022-04-12,31.53,24.23,1.551,6.203,4.46,0
102,1,2022-04-13,7.74,73.39,1.467,6.159,0.72,0
103,1,2022-04-14,-2.51,73.76,1.417,6.133,5.54,0
104,1,2022-04-15,8.28,87.02,1.395,6.122,4.0,0
105,1,2022-04-16,25.07,82.87,1.325,6.088,2.82,0
106,1,2022-04-17,32.56,35.0,1.239,6.042,3.4,0
107,1,2022-04-18,9.18,43.31,1.207,6.027,8.16,0
108,1,2022-04-19,35.86,89.83,1.152,6.0,5.66,0
109,1,2022-04-20,39.09,43.47,1.092,5.972,2.08,1
110,1,2022-04-21,21.37,26.81,1.063,10.824,3.25,0
111,1,2022-04-22,-4.67,56.99,0.993,10.788,4.12,0
112,1,2022-04-23,21.44,37.43,0.956,10.768,8.41,0
113,1,2022-04-24,3.27,72.92,0.925,10.753,1.44,0
114,1,2022-04-25,6.47,43.82,0.833,10.706,6.81,0
115,1,2022-04-26,29.59,54.73,0.773,10.678,9.13,0
116,1,2022-04-27,-8.48,24.56,0.691,10.636,4.94,0
117,1,2022-04-28,6.43,40.47,0.629,10.605,2.22,0
118,1,2022-04-29,33.22,21.29,0.605,10.596,3.64,0
119,1,2022-04-30,16.47,70.65,0.542,10.565,6.25,0
120,1,2022-05-01,-9.58,50.69,0.455,10.52,6.54,0
121,1,2022-05-02,30.62,56.54,0.378,10.483,3.53,0
122,1,2022-05-03,4.73,79.38,0.304,10.448,6.47,0
123,1,2022-05-04,25.51,21.99,0.277,10.432,8.14,0
124,1,2022-05-05,26.27,39.18,0.235,10.412,6.6,1
125,1,2022-05-06,10.53,54.17,0.168,10.377,4.59,0
126,1,2022-05-07,22.5,33.7,0.133,10.358,5.12,0
127,1,2022-05-08,-9.75,89.32,0.061,10.321,3.34,0
128,1,2022-05-09,35.49,20.04,0.0,10.292,3.85,0
129,1,2022-05-10,23.51,62.0,0.0,10.281,6.77,0
130,1,2022-05-11,32.88,89.08,0.0,10.247,5.81,0
131,1,2022-05-12,4.86,31.39,0.0,10.207,6.73,0
132,1,2022-05-13,22.27,60.5,0.0,10.172,5.28,0
133,1,2022-05-14,11.51,26.42,0.0,10.148,2.33,0
134,1,2022-05-15,34.18,33.46,0.0,10.139,3.55,0
135,1,2022-05-16,26.57,44.66,0.0,10.126,4.39,0
136,1,2022-05-17,28.67,28.89,0.0,10.115,8.45,0
137,1,2022-05-18,15.53,26.64,0.0,10.082,4.85,0
138,1,2022-05-19,16.14,50.98,0.0,10.07,6.07,0
139,1,2022-05-20,27.52,21.17,0.0,10.06,6.92,0
140,1,2022-05-21,-5.92,31.63,0.0,10.034,5.67,0
141,1,2022-05-22,-1.91,44.91,0.0,10.014,6.39,0
142,1,2022-05-23,0.39,37.67,0.0,9.976,4.81,0
143,1,2022-05-24,8.03,26.29,0.0,9.937,5.18,0
144,1,2022-05-25,9.96,70.57,0.0,9.913,6.35,0
145,1,2022-05-26,-8.16,30.51,0.0,9.894,4.02,0
146,1,2022-05-27,-1.81,22.97,0.0,9.875,5.73,0
147,1,2022-05-28,38.76,40.02,0.0,9.83,5.21,0
148,1,2022-05-29,5.13,44.28,0.0,9.798,7.33,0
149,1,2022-05-30,19.74,20.24,0.0,9.766,4.55,0
150,1,2022-05-31,13.01,46.72,0.0,9.733,5.25,0
151,1,2022-06-01,20.18,48.21,0.0,9.703,3.32,0
152,1,2022-06-02,11.35,61.74,0.0,9.662,4.85,0
153,1,2022-06-03,38.8,68.11,0.0,9.632,6.07,0
154,1,2022-06-04,-5.51,79.34,0.0,9.583,4.94,0
155,1,2022-06-05,-6.08,42.62,0.0,9.568,5.81,0
156,1,2022-06-06,28.19,85.84,0.0,9.56,3.96,0
157,1,2022-06-07,3.94,78.06,0.0,9.55,5.3,0
158,1,2022-06-08,11.06,70.16,0.0,9.52,4.81,0
159,1,2022-06-09,13.94,68.42,0.0,9.494,3.22,0
160,1,2022-06-10,7.53,55.09,0.0,9.482,2.3,0
161,1,2022-06-11,25.16,48.83,0.0,9.47,5.91,0
162,1,2022-06-12,7.3,53.74,0.0,9.448,5.32,0
163,1,2022-06-13,-3.06,76.4,0.0,9.415,6.6,0
164,1,2022-06-14,39.95,64.2,0.0,9.375,5.03,0
165,1,2022-06-15,12.06,86.23,0.0,9.352,5.3,0
166,1,2022-06-16,27.98,31.5,0.0,9.32,5.82,0
167,1,2022-06-17,-2.19,66.96,0.0,9.28,5.16,0
168,1,2022-06-18,0.28,71.63,0.0,9.27,2.16,0
169,1,2022-06-19,15.65,21.58,0.0,9.234,2.51,0
170,1,2022-06-20,-1.01,51.4,0.0,9.19,4.4,0
171,1,2022-06-21,17.71,76.22,0.0,9.147,7.32,0
172,1,2022-06-22,7.63,57.89,0.0,9.106,4.49,0
173,1,2022-06-23,3.76,46.01,0.0,9.093,6.6,0
174,1,2022-06-24,-6.87,64.24,0.0,9.056,3.72,0
175,1,2022-06-25,36.46,61.79,0.0,9.021,10.03,0
176,1,2022-06-26,20.52,76.12,0.0,8.997,5.64,0
177,1,2022-06-27,10.76,32.85,0.0,8.95,4.38,0
178,1,2022-06-28,23.62,89.02,0.0,8.925,2.52,0
179,1,2022-06-29,18.58,23.25,0.0,8.9,2.86,0
180,1,2022-06-30,-5.88,76.2,0.0,8.854,2.55,0
181,1,2022-07-01,16.13,24.69,0.0,8.828,8.48,0
182,1,2022-07-02,33.63,49.19,0.0,8.809,5.2,0
183,1,2022-07-03,26.72,89.47,0.0,8.775,6.96,0
184,1,2022-07-04,21.71,26.69,0.0,8.744,5.12,0
185,1,2022-07-05,11.92,45.68,0.0,8.714,4.65,0
186,1,2022-07-06,34.73,86.64,0.0,8.686,6.46,0
187,1,2022-07-07,15.58,88.31,0.0,8.66,4.78,0
188,1,2022-07-08,8.08,54.99,0.0,8.619,9.11,0
189,1,2022-07-09,21.89,25.98,0.0,8.579,-0.67,0
190,1,2022-07-10,29.39,38.14,0.0,8.548,6.15,0
191,1,2022-07-11,11.66,87.63,0.0,8.512,3.26,0
192,1,2022-07-12,35.5,82.34,0.0,8.485,6.89,0
193,1,2022-07-13,33.55,76.84,0.0,8.452,4.0,0
194,1,2022-07-14,6.51,29.27,0.0,8.427,3.07,0
195,1,2022-07-15,16.73,57.64,0.0,8.414,5.09,0
196,1,2022-07-16,24.28,57.32,0.0,8.38,9.79,0
197,1,2022-07-17,8.01,21.94,0.0,8.358,2.5,0
198,1,2022-07-18,10.62,58.68,0.0,8.328,5.13,0
199,1,2022-07-19,35.57,29.5,0.0,8.317,4.21,0
200,1,2022-07-20,25.07,88.43,0.0,8.301,8.3,0
201,1,2022-07-21,-8.27,29.91,0.0,8.255,1.55,0
202,1,2022-07-22,11.72,69.9,0.0,8.236,4.14,0
203,1,2022-07-23,16.23,20.62,0.0,8.219,1.96,0
204,1,2022-07-24,6.14,52.56,0.0,8.193,5.44,0
205,1,2022-07-25,18.87,71.91,0.0,8.178,4.13,0
206,1,2022-07-26,13.71,39.1,0.0,8.164,5.78,0
207,1,2022-07-27,4.56,79.56,0.0,8.117,8.44,0
208,1,2022-07-28,-1.66,48.78,0.0,8.107,5.2,0
209,1,2022-07-29,23.53,45.85,0.0,8.071,6.79,0
210,1,2022-07-30,4.27,34.83,0.0,8.05,3.73,0
211,1,2022-07-31,-7.94,78.0,0.0,8.022,6.05,0
212,1,2022-08-01,38.33,63.93,0.0,7.986,5.23,0
213,1,2022-08-02,32.61,32.53,0.0,7.971,6.54,0
214,1,2022-08-03,13.45,78.75,0.0,7.935,6.65,0
215,1,2022-08-04,26.0,85.5,0.0,7.907,4.27,0
216,1,2022-08-05,24.68,53.97,0.0,7.871,5.41,0
217,1,2022-08-06,2.24,31.57,0.0,7.859,3.24,0
218,1,2022-08-07,20.99,44.92,0.0,7.817,3.36,0
219,1,2022-08-08,35.27,55.69,0.0,7.769,3.63,0
220,1,2022-08-09,24.18,27.55,0.0,7.74,7.77,0
221,1,2022-08-10,34.75,24.46,0.0,7.691,3.14,0
222,1,2022-08-11,2.71,20.79,0.0,7.657,0.63,0
223,1,2022-08-12,22.31,20.03,0.0,7.644,4.56,0
224,1,2022-08-13,39.93,41.19,0.0,7.632,7.19,0
225,1,2022-08-14,14.89,39.98,0.0,7.585,7.47,0
226,1,2022-08-15,-6.87,88.66,0.0,7.543,8.64,1
227,1,2022-08-16,32.75,24.86,0.0,7.52,4.25,0
228,1,2022-08-17,37.76,86.82,0.0,7.499,4.35,0
229,1,2022-08-18,-6.16,47.62,0.0,7.471,6.39,0
230,1,2022-08-19,11.72,20.64,0.0,7.427,7.29,0
231,1,2022-08-20,3.39,54.04,0.0,7.413,3.1,0
232,1,2022-08-21,35.99,41.1,0.0,7.391,5.0,0
233,1,2022-08-22,20.69,44.59,0.0,7.354,6.02,0
234,1,2022-08-23,32.49,32.39,0.0,7.318,1.99,0
235,1,2022-08-24,6.35,34.22,0.0,7.268,2.05,0
236,1,2022-08-25,11.86,50.98,0.0,7.223,6.55,0
237,1,2022-08-26,16.59,86.65,0.0,7.199,5.74,0
238,1,2022-08-27,37.49,49.51,0.0,7.16,5.31,0
239,1,2022-08-28,25.4,23.56,0.0,7.137,5.59,0
240,1,2022-08-29,9.2,68.01,0.0,7.108,5.69,0
241,1,2022-08-30,-5.3,80.71,0.0,7.095,1.94,0
242,1,2022-08-31,34.38,45.05,0.0,7.065,3.71,0
243,1,2022-09-01,-8.96,32.24,0.0,7.036,5.63,0
244,1,2022-09-02,-3.51,87.34,0.0,7.013,6.47,0
245,1,2022-09-03,7.51,88.9,0.0,6.996,3.34,0
246,1,2022-09-04,32.33,87.28,0.0,6.969,7.14,0
247,1,2022-09-05,-9.69,60.58,0.0,6.939,4.37,0
248,1,2022-09-06,9.88,85.69,0.0,6.904,6.79,0
249,1,2022-09-07,6.67,57.2,0.0,6.89,1.86,0
250,1,2022-09-08,16.07,30.7,0.0,6.853,6.2,0
251,1,2022-09-09,-7.91,53.9,0.0,6.81,4.93,0
252,1,2022-09-10,-9.31,86.24,0.0,6.787,4.42,0
253,1,2022-09-11,17.29,24.2,0.0,6.745,3.55,0
254,1,2022-09-12,-9.02,36.21,0.0,6.73,4.79,0
255,1,2022-09-13,38.15,82.16,0.0,6.687,7.25,0
256,1,2022-09-14,26.39,63.53,0.0,6.652,5.65,0
257,1,2022-09-15,14.5,37.91,0.0,6.608,3.15,0
258,1,2022-09-16,-4.41,58.83,0.0,6.589,6.59,0
259,1,2022-09-17,18.53,43.95,0.0,6.577,7.04,0
260,1,2022-09-18,35.9,48.84,0.0,6.56,0.04,0
261,1,2022-09-19,31.6,36.65,0.0,6.513,-1.29,0
262,1,2022-09-20,5.91,21.97,0.0,6.494,5.42,0
263,1,2022-09-21,36.32,67.82,0.0,6.464,9.05,0
264,1,2022-09-22,31.12,86.42,0.0,6.424,6.13,0
265,1,2022-09-23,18.56,62.9,0.0,6.399,4.48,0
266,1,2022-09-24,31.3,55.72,0.0,6.371,3.37,0
267,1,2022-09-25,-1.39,42.49,0.0,6.358,5.97,0
268,1,2022-09-26,7.45,66.76,0.0,6.323,7.75,0
269,1,2022-09-27,13.26,61.96,0.0,6.31,5.87,0
270,1,2022-09-28,39.68,20.5,0.0,6.271,5.92,0
271,1,2022-09-29,20.27,73.8,0.0,6.229,3.47,0
272,1,2022-09-30,30.38,62.45,0.0,6.205,-0.31,0
273,1,2022-10-01,39.32,83.07,0.0,6.185,5.49,0
274,1,2022-10-02,-3.88,20.56,0.0,6.17,4.11,0
275,1,2022-10-03,-9.97,69.8,0.0,6.136,4.07,0
276,1,2022-10-04,2.54,62.16,0.0,6.122,6.38,0
277,1,2022-10-05,4.4,27.13,0.0,6.079,5.78,0
278,1,2022-10-06,13.64,42.25,0.0,6.043,7.65,0
279,1,2022-10-07,7.9,72.13,0.0,6.006,7.05,0
280,1,2022-10-08,23.23,46.43,0.0,5.975,1.84,1
281,1,2022-10-09,22.47,73.62,0.0,8.651,3.48,0
282,1,2022-10-10,37.28,27.94,0.0,8.641,5.73,0
283,1,2022-10-11,18.31,53.27,0.0,8.604,11.99,0
284,1,2022-10-12,22.85,77.01,0.0,8.583,4.82,0
285,1,2022-10-13,39.95,72.67,0.0,8.573,3.21,0
286,1,2022-10-14,18.89,42.11,0.0,8.549,3.95,0
287,1,2022-10-15,31.39,29.72,0.0,8.515,7.33,0
288,1,2022-10-16,23.73,51.91,0.0,8.485,5.06,0
289,1,2022-10-17,23.02,47.97,0.0,8.456,6.14,0
290,1,2022-10-18,8.82,71.02,0.0,8.418,3.75,0
291,1,2022-10-19,3.35,70.29,0.0,8.403,7.52,0
292,1,2022-10-20,10.85,49.02,0.0,8.375,7.24,0
293,1,2022-10-21,25.93,51.92,0.0,8.339,4.56,0
294,1,2022-10-22,36.01,59.68,0.0,8.32,7.76,0
295,1,2022-10-23,34.02,48.41,0.0,8.292,3.73,0
296,1,2022-10-24,-0.82,28.43,0.0,8.249,4.85,0
297,1,2022-10-25,11.89,50.23,0.0,8.209,2.49,0
298,1,2022-10-26,16.58,59.81,0.0,8.195,5.8,0
299,1,2022-10-27,28.54,49.78,0.0,8.171,0.84,0
300,1,2022-10-28,27.73,47.68,0.0,8.155,3.24,0
301,1,2022-10-29,22.42,55.06,0.0,8.122,2.53,0
302,1,2022-10-30,12.2,48.29,0.0,8.077,8.25,0
303,1,2022-10-31,-1.86,71.21,0.0,8.066,7.68,0
304,1,2022-11-01,10.33,25.23,0.0,8.023,4.58,0
305,1,2022-11-02,30.21,79.36,0.0,8.0,2.58,0
306,1,2022-11-03,27.17,26.01,0.0,7.987,7.59,0
307,1,2022-11-04,17.36,20.34,0.0,7.973,6.77,0
308,1,2022-11-05,4.13,71.28,0.0,7.939,5.3,0
309,1,2022-11-06,33.38,27.14,0.0,7.928,5.14,0
310,1,2022-11-07,32.73,60.66,0.0,7.888,5.34,0
311,1,2022-11-08,25.28,53.81,0.0,7.851,4.21,0
312,1,2022-11-09,19.95,53.9,0.0,7.803,2.43,0
313,1,2022-11-10,10.5,62.49,0.0,7.773,4.62,0
314,1,2022-11-11,-2.35,65.87,0.0,7.73,7.86,0
315,1,2022-11-12,35.86,77.7,0.0,7.682,4.69,0
316,1,2022-11-13,-3.64,31.48,0.0,7.641,7.51,0
317,1,2022-11-14,12.34,48.56,0.0,7.59,4.36,0
318,1,2022-11-15,15.64,58.84,0.0,7.568,5.7,0
319,1,2022-11-16,11.42,62.2,0.0,7.545,5.68,0
320,1,2022-11-17,13.67,78.38,0.0,7.533,2.91,0
321,1,2022-11-18,-1.5,59.67,0.0,7.524,5.9,0
322,1,2022-11-19,9.78,58.33,0.0,7.499,6.01,0
323,1,2022-11-20,33.25,41.7,0.0,7.453,6.18,0
324,1,2022-11-21,-9.79,66.86,0.0,7.413,3.4,0
325,1,2022-11-22,35.28,26.9,0.0,7.389,4.74,0
326,1,2022-11-23,19.9,28.37,0.0,7.363,3.68,0
327,1,2022-11-24,18.87,64.81,0.0,7.321,3.09,0
328,1,2022-11-25,14.26,55.26,0.0,7.277,5.87,0
329,1,2022-11-26,12.57,66.05,0.0,7.234,5.24,0
330,1,2022-11-27,6.86,81.43,0.0,7.206,4.59,0
331,1,2022-11-28,2.82,73.27,0.0,7.165,4.06,0
332,1,2022-11-29,15.99,83.94,0.0,7.143,5.82,0
333,1,2022-11-30,14.56,76.98,0.0,7.11,-0.5,0
334,1,2022-12-01,5.52,62.12,0.0,7.062,8.37,0
335,1,2022-12-02,7.2,82.28,0.0,7.034,4.74,0
336,1,2022-12-03,31.17,69.18,0.0,7.024,6.99,0
337,1,2022-12-04,29.47,70.89,0.0,6.988,7.75,0
338,1,2022-12-05,-1.7,84.77,0.0,6.956,7.22,1
339,1,2022-12-06,25.09,58.34,0.0,6.912,6.84,0
340,1,2022-12-07,12.52,55.7,0.0,6.897,1.71,0
341,1,2022-12-08,16.42,76.69,0.0,6.866,4.54,0
342,1,2022-12-09,1.43,51.18,0.0,6.848,5.4,0
343,1,2022-12-10,-1.02,29.74,0.0,6.836,5.69,0
344,1,2022-12-11,34.9,43.92,0.0,6.82,7.07,0
345,1,2022-12-12,14.21,72.98,0.0,6.807,6.73,0
346,1,2022-12-13,31.2,46.15,0.0,6.774,0.44,0
347,1,2022-12-14,3.14,64.51,0.0,6.756,4.85,0
348,1,2022-12-15,14.28,83.93,0.0,6.731,3.6,0
349,1,2022-12-16,21.97,64.94,0.0,6.696,6.02,0
350,1,2022-12-17,8.92,89.3,0.0,6.65,6.72,0
351,1,2022-12-18,-4.75,87.84,0.0,6.62,1.69,0
352,1,2022-12-19,6.98,58.05,0.0,6.573,7.03,0
353,1,2022-12-20,34.98,40.66,0.0,6.526,4.66,0
354,1,2022-12-21,37.73,87.79,0.0,6.495,6.78,0
355,1,2022-12-22,21.78,47.86,0.0,6.451,7.39,0
356,1,2022-12-23,-2.68,62.25,0.0,6.431,5.7,0
357,1,2022-12-24,8.06,70.37,0.0,6.399,7.33,0
358,1,2022-12-25,19.73,78.41,0.0,6.378,6.56,0
359,1,2022-12-26,0.11,64.78,0.0,6.35,6.09,1
360,1,2022-12-27,29.2,40.24,0.0,6.303,3.16,0
361,1,2022-12-28,3.0,60.43,0.0,6.259,6.85,0
362,1,2022-12-29,3.43,82.38,0.0,6.229,1.91,0
363,1,2022-12-30,2.79,39.62,0.0,6.182,6.25,0
364,1,2022-12-31,35.15,44.84,0.0,6.156,6.36,0
365,1,2023-01-01,-0.17,23.33,0.0,6.146,7.2,1
366,1,2023-01-02,-3.62,33.6,0.0,6.134,3.45,0
367,1,2023-01-03,37.39,84.61,0.0,6.12,3.28,0
368,1,2023-01-04,29.27,81.55,0.0,6.071,3.73,0
369,1,2023-01-05,-9.1,51.77,0.0,6.046,1.77,0
370,1,2023-01-06,-9.3,40.42,0.0,5.999,6.77,1
371,1,2023-01-07,-4.42,73.83,0.0,9.608,2.7,0
372,1,2023-01-08,2.54,40.92,0.0,9.591,3.03,0
373,1,2023-01-09,-6.15,87.49,0.0,9.577,6.62,0
374,1,2023-01-10,20.7,84.76,0.0,9.558,6.21,0
375,1,2023-01-11,-8.76,36.77,0.0,9.538,6.72,1
376,1,2023-01-12,30.42,45.29,0.0,9.492,3.69,0
377,1,2023-01-13,38.63,77.59,0.0,9.457,3.96,0
378,1,2023-01-14,11.23,23.51,0.0,9.414,5.58,0
379,1,2023-01-15,-6.78,79.16,0.0,9.368,2.2,0
380,1,2023-01-16,8.39,55.25,0.0,9.354,5.82,0
381,1,2023-01-17,35.16,20.01,0.0,9.335,9.68,0
382,1,2023-01-18,0.96,53.57,0.0,9.299,6.21,0
383,1,2023-01-19,32.09,76.72,0.0,9.273,8.3,1
384,1,2023-01-20,3.63,55.07,0.0,9.261,5.2,0
385,1,2023-01-21,-8.64,46.44,0.0,9.246,4.83,0
386,1,2023-01-22,36.98,37.83,0.0,9.224,2.54,0
387,1,2023-01-23,2.62,51.2,0.0,9.185,2.45,0
388,1,2023-01-24,24.03,47.46,0.0,9.167,6.73,0
389,1,2023-01-25,12.54,21.24,0.0,9.117,7.49,0
390,1,2023-01-26,39.55,22.83,0.0,9.084,6.28,1
391,1,2023-01-27,-3.41,64.1,0.0,9.057,3.6,0
392,1,2023-01-28,8.54,88.33,0.0,9.027,10.62,0
393,1,2023-01-29,-3.97,51.96,0.0,8.98,4.24,0
394,1,2023-01-30,29.86,41.0,0.0,8.961,3.91,0
395,1,2023-01-31,-2.42,46.86,0.0,8.95,5.86,0
396,1,2023-02-01,2.62,64.31,0.0,8.92,3.47,0
397,1,2023-02-02,15.84,37.86,0.0,8.881,3.89,0
398,1,2023-02-03,-2.74,70.12,0.0,8.866,4.54,0
399,1,2023-02-04,31.24,78.61,0.0,8.85,4.27,0
400,1,2023-02-05,18.81,38.2,0.0,8.838,2.63,0
401,1,2023-02-06,18.86,22.0,0.0,8.814,4.48,0
402,1,2023-02-07,38.03,39.96,0.0,8.771,7.2,0
403,1,2023-02-08,14.88,71.96,0.0,8.734,2.38,0
404,1,2023-02-09,23.31,61.87,0.0,8.687,6.6,0
405,1,2023-02-10,0.57,21.44,0.0,8.67,7.07,0
406,1,2023-02-11,28.78,75.98,0.0,8.633,5.93,0
407,1,2023-02-12,37.37,66.68,0.0,8.619,4.04,0
408,1,2023-02-13,-7.25,53.29,0.0,8.579,3.17,0
409,1,2023-02-14,12.53,48.84,0.0,8.538,10.01,0
410,1,2023-02-15,2.46,84.41,0.0,8.516,4.16,0
411,1,2023-02-16,5.09,37.6,0.0,8.474,7.18,0
412,1,2023-02-17,3.25,25.73,0.0,8.444,3.53,0
413,1,2023-02-18,19.93,34.38,0.0,8.422,4.74,0
414,1,2023-02-19,22.34,67.19,0.0,8.409,5.12,0
415,1,2023-02-20,6.87,69.28,0.0,8.372,3.63,0
416,1,2023-02-21,9.23,64.15,0.0,8.357,5.22,0
417,1,2023-02-22,18.61,87.04,0.0,8.322,2.33,0
